V1,V2,Ben Simmon,,
Tracy Colbert,"Fredericksburg, VA",Virginia,,
Byron McGahee,"Rahway, NJ",New jersey,,
Kevin Natale,Ventura,Iowa,,
Trey Lingerfeldt,"Southern Pines,  NC",North†Carolina,,
Elmer,"Dallas, TX",Texas,,
INCMOBILIA,"Manhattan, NY",New†York,,
"Eric Nazzy ¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Philadelphia"," PA""",Pennsylvania,,
"Mrs. Bad & Boujee ¬©®π¶¬©‚®π¶¨""Baton Rouge"," LA""",California,,
Damian Myles-Lange,"Ithaca, NY",New†York,,
Dale Nixon,"Philadelphia, PA",Pennsylvania,,
J.W.,"Charlotte, NC",North†Carolina,,
Grayson Johnson,"Kennewick, WA",Washington,,
MJ ,"Austin, TX",Texas,,
Seor Pink,Baton Rouge,Louisiana,,
"Nate¬©®π¶¬©‚®π¶¨""Anaheim"," CA""",California,,
Ahmad X,Paradise ,Pennsylvania,,
Worl,"Shithole, Florida",Puerto Rico,,
Young Sasquatch,"Jim Thorpe, PA",Pennsylvania,,
Jack Donovan,"Manhattan, NY",New†York,,
RoWiles,"Philadelphia, PA",Pennsylvania,,
c.flater,NC ,North†Carolina,,
MONEY=SLAVERY/RAPE/RASCISM,"Chicago, IL",Illinois,,
Ivan Zarkov,"State College, PA",Pennsylvania,,
Dare Raikou,"Los Angeles, CA",California,,
Ryan Harris,Milwaukee,Wisconsin,,
Luke Markey (13-26) Plz Tank,Dallas,Pennsylvania,,
Eric G,"Los Angeles, CA",California,,
Gabriel Caldern,"Lima, Peru",Maine,,
Dennis Wilson,"Red Lion, PA",Pennsylvania,,
Mo M Hossain (Sohel),New York,New York,,
lebronjayz,"Queens, NY",New†York,,
B,Sydney,Florida,,
David Lubbat,"Houston, TX",Texas,,
Abdul Syed,"Dallas, TX",Texas,,
Psycho Les,"Queens, New York",New York,,
Joujou,Canada,Kentucky,,
"Lester L. Artis ¬©®π¶¬©‚®π¶¨""Portsmouth"," VA""",Virginia,,
Roger Luchini,Harlem,Georgia,,
Fernando Aceves,"Irving Park, Chicago",Illinois,,
jordan.,PA,Pennsylvania,,
Samuel Buettner,"Cincinnati, OH",Ohio,,
Steventhomas05,"Groveland,FL",Florida,,
Michael Deitz,"Philadelphia, PA",Pennsylvania,,
Aggelos Kn,"Detroit, MI",Michigan,,
Laura Banks,Sydney,Florida,,
Evelyn Tett,"Downers Grove, IL",Illinois,,
sherman l king,"Williamstown, NJ",New jersey,,
Ranga,Perth,North Dakota,,
"Antknee Seament!""","Compton, CA",California,,
P. Miles,"Coatesville, PA",Pennsylvania,,
Troy Williams,"Savannah, GA",Georgia,,
"BC!!Ug8""","Huntsville, AL",Alabama,,
Eli,"Blackwood, NJ",New jersey,,
Luke Mckenna,Melbourne ,Florida,,
Wilfredo Nunez,"Frankford, Philadelphia",New York,,
"DaDa Supreme ¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Chicago"," IL""",Illinois,,
David Vicino,Melbourne,Florida,,
"SteF ""S.P"" Parker","San Antonio, TX",Texas,,
Ethan Bungar,"London, England",Arkansas,,
Matti_Marven,"San Diego, CA",California,,
Kareem Barrow,"Calgary, Alberta",Virginia,,
Matthew Carlson,"Bellevue, WA",Washington,,
Sunn m'Cheaux,"Cambridge, MA",Massachusetts,,
Jamie xapiAustralia,"Melbourne, Victoria",Virginia,,
Atari,"Las Vegas, NV",Nevada,,
Keylon Phillips,"North Little Rock, AR",Arkansas,,
¬©®π¶¬©‚®π¶Œathan ¬©®π¶¬©‚®π¶¨Los Angeles ,California,,,
Angelo Cotellessa,Perth,North Dakota,,
Madeleine Brown,"Melbourne, Victoria",Virginia,,
Tr Third of his Name,"Houston, TX",Texas,,
"5:3?,9 @591",LA,California,,
Roal Enriquez,Sydney,Florida,,
NBA Stupidity,"Secaucus, NJ",New jersey,,
Aljawn Jeffery,"Philadelphia, PA",Pennsylvania,,
Miguelito,"Los Angeles, CA",California,,
Miles Jamieson,"Seattle, WA",Washington,,
Pierbrothers,"Indianapolis, IN",Indiana,,
AK,"Philadelphia, PA",Pennsylvania,,
Keyshawn BlakesR&¢¬©‚®π¶¬©‚®π¶¨Syracuse,New York,,,
ethan,"Melbourne, Victoria",Virginia,,
marlon babic,"Sydenham, Melbourne",Florida,,
Black Turtle,"Marlton, NJ",New jersey,,
Timothy Davis,"Fort Lauderdale, FL",Florida,,
Rui bian,"Newark, DE",Delaware,,
PopEntertainment.com,Philadelphia,New York,,
Brian Schindler,"Philadelphia, PA",Pennsylvania,,
Silvio,"Voorhees, NJ",New jersey,,
Brendan Umphrey,"Norman, OK",Oklahoma,,
Aditya Pradhan,Jersey,Virginia,,
J,"Fort Worth, TX",Texas,,
Dana Wilson,"Philadelphia, PA",Pennsylvania,,
RJ Spargo,"Philadelphia, PA",Pennsylvania,,
Carlos Diegueno,"Chicago, IL",Illinois,,
Abdul Ali Weeks,"Philadelphia, PA",Pennsylvania,,
Matheus Lima,"Recife, Brazil",Indiana,,
The Highlights,"Las Vegas, NV",Nevada,,
Patrick Kelly,"Donegal, Ireland",West Virginia,,
Daniel,"Philadelphia, PA",Pennsylvania,,
spacemilk,"Philadelphia, PA",Pennsylvania,,
RichEasterling,"Cincinnati,Ohio",Illinois,,
Adam,"Portland, OR",Oregon,,
Mitchell,"Swan Hill, Victoria",Virginia,,
Donovan Williams,"Bay Area, CA'¢ƒallas, TX",Texas,,
Dan M,Melbourne,Florida,,
Ian McNamara,"Offaly, Ireland",West Virginia,,
Louie V on da Track,"200/700 Manitou, NJ",New jersey,,
Paris Shusterfallou,"Phoenixville, PA",Pennsylvania,,
Jackson Adams Jr,"Charlotte, NC",North†Carolina,,
D'¢√hanning TatYummD',"Columbus, OH",Ohio,,
bobby17,"Wyndham Vale, Melbourne",Florida,,
Chapel J.P.,Detroit,Maine,,
Brian Park,"Pennsauken, NJ",New jersey,,
Neil Cassidy,Philadelphia,New York,,
Courtney Cummins,"New Orleans, LA",California,,
Maitepedraza,"Philadelphia, PA",Pennsylvania,,
Tiny Joe Nelson,Minneapolis,North Carolina,,
The Real Malibu,"Boalsburg, PA",Pennsylvania,,
Taylor¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶Æ..,"Orange, TX",Texas,,
Ashlee Bellotti,"Magnolia, DE",Delaware,,
ToneDwn440,"Lorain, OH",Ohio,,
Dpereira25,Lindenhurst,New York,,
Eddie Thomas,"Fayetteville, NC",North†Carolina,,
LoseyDosey,"West Concord, MA",Massachusetts,,
King- hack-boy,"Camden, NJ",New jersey,,
phillylogos,"Philadelphia, PA",Pennsylvania,,
Cano,"Brooklyn, NY",New†York,,
Stace of Base,"Salt Lake City, UT",Texas,,
Justin Nichols,"Jonesboro, AR",Arkansas,,
Reeenk Roink,Philadelphia,New York,,
Brady Roberts,"Hutchinson, KS",Kansas,,
Aka Onyegbule,"Toronto, Ontario",New York,,
Jamie,"Damascus, MD",Maryland,,
Will Gardner,"St. Albert, Alberta",Virginia,,
Robert Foltman,Chicago,Illinois,,
"Abraham Martinez ¬©®π¶¬©‚®π¶¨""Phoenix"," AZ""",Arizona,,
Roy Hinson,Florida,Puerto Rico,,
Hoopstar_22,"Whitfield, AL",Alabama,,
Mikey Ray,"Columbus, OH",Ohio,,
Adrian Reyna,"Phoenix, AZ",Arizona,,
Logan phillips,"Los Angeles, CA",California,,
Brandon Lomax,"Greenwood, SC",South carolina,,
Muscle Bestbrook,"Nashville, TN",Tennessee,,
Derrick Nolen,"Goodview, Virginia ",Minnesota,,
Lov  Patek,"Pascagoula, MS",Mississippi,,
Elijah Morales,"Norristown, PA",Pennsylvania,,
MarkLALakers,"Glassell Park, Los Angeles",California,,
Josh Smith,Philadelphia,New York,,
Hoodrichcmo,"Longview, TX",Texas,,
Laine Michaels,"Upper Darby, PA",Pennsylvania,,
Marc Herold,"Gastonia, NC",North†Carolina,,
Ryan Eckert,"Westlake, OH",Ohio,,
Stefano Brunelli,"Foligno, Perugia, Italy",Texas,,
"DC¬©®π¶¬©‚®π¶¨""Memphis"," TN""",Tennessee,,
Ben Goetz,"London, England",Arkansas,,
Ethan,"Rancho Santa Margarita, CA",California,,
Tymek Podracki,"Rzeszw, Poland",Maine,,
Antoine Andrews,"Carson, CA",California,,
Adam Hamby,Knoxville,Pennsylvania,,
Ferrari Flex,Pittsboro,North Carolina,,
Kelly,"Los Angeles, CA",California,,
Loksta TFS,"Compton, CA",California,,
D'Angelo Russell,"Los Angeles, CA",California,,
Ahmed,"Philadelphia, PA",Pennsylvania,,
Carpintero pancan,"Philadelphia, PA",Pennsylvania,,
j2thecoa,"Cherry Hill, NJ",New jersey,,
"UptMeech!Thurle$t¬©®π¶¬©‚®π¶¢"",Norristown"," PA""",Pennsylvania,,
chelseasiniva,"Los Angeles, CA",California,,
Tom Hurle,Melbourne,Florida,,
I SUCK TITTIES,"Whitman, Philadelphia",New York,,
YURRRRR,"Rochester , New York",New York,,
Meechie4xx,"Baltimore, MD",Maryland,,
C.J. Flournoy,Louisiana,Missouri,,
Jason Denton,"Charlotte, NC",North†Carolina,,
APN,"Renton, WA",Washington,,
Jeff Rothwell,"Atlanta, GA",Georgia,,
Tarsha Clark,"Philadelphia, PA",Pennsylvania,,
yea,"Memphis, TN",Tennessee,,
Jamie Lewis,Michigan,North Dakota,,
Alex S.,Paris,Maine,,
Cody Cavanagh,Elk Grove,California,,
Andrea Johnson,"Selinsgrove, PA",Pennsylvania,,
Adrian Rodriguez,"Bronx, NY",New†York,,
Savanna Bolger,"Lorain, OH",Ohio,,
"CrookByDaBook¬©®π¶¬©‚®π¶¨""Allentown"," PA""",Pennsylvania,,
Matthew Ford,"Glenolden, PA",Pennsylvania,,
Carlos.D'Angelo,"Mobile, AL",Alabama,,
Yudha Verdian,Melbourne,Florida,,
Brandon Bryant,"Sharon Hill, PA",Pennsylvania,,
Christian Farris,"Madison, WI",Wisconsin,,
Kasheen Harris,"Richmond, VA",Virginia,,
William,Detroit ,Maine,,
Grip Bayless,"North Charleston, SC",South carolina,,
AsIf,Home,Pennsylvania,,
Mason Vaughn,"Kansas City, MO",Missouri,,
John Iannelli,New York,New York,,
magic,LA,California,,
Ryan Chidlow,Wales,Massachusetts,,
Pat_ardis,"Philadelphia, PA",Pennsylvania,,
Jenna Bonner,"Philadelphia, PA",Pennsylvania,,
"AJ¬©®π¶¬©‚®π¶¨""Toronto"," Ontario""",New York,,
Al Capo,"New York, New York",New York,,
|| MMGx305 ||,Miami,West Virginia,,
Matthew Risi,"Media, PA",Pennsylvania,,
White_magik91,"Melbourne, Victoria",Virginia,,
jamir hunt,"Chicago, IL",Illinois,,
Serge DePhilly,Philadelphia,New York,,
Brynt Peterson,"Evergreen, MT",Montana,,
Dancing In Philly,"Philadelphia, PA",Pennsylvania,,
Raj C.,"Riverside, CA",California,,
Shane P,"Atlanta, GA",Georgia,,
Kyle Jacobs,"Cincinnati, OH",Ohio,,
Fill,"Macomb, IL",Illinois,,
7Geez,"Philadelphia, PA",Pennsylvania,,
Cristobal Morsles,"Splendora, TX",Texas,,
dave,"West Town, Chicago",Illinois,,
John L Hall Jr,"Philadelphia, PA",Pennsylvania,,
√º√ºa|[,"Pottstown, PA",Pennsylvania,,
Andy Goldie,"Motherwell, Scotland",Connecticut,,
Tyler  Chappelle,"Fort Collins, CO",Colorado,,
Jesse Haines,"Villanova, PA",Pennsylvania,,
Fastlife,"Philadelphia, PA",Pennsylvania,,
Vince Taylor,"Schererville, IN",Indiana,,
Juan Enriquez,"Elgin, IL",Illinois,,
Jarquavius,"Huntsville, AL",Alabama,,
"Brodie¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Corpus Christi"," TX""",Texas,,
Jordan Lane,"Montrose, MI",Michigan,,
Chris Edwards,Perth,North Dakota,,
Duncan Clair,Toronto,Ohio,,
99DAME BITTIE,"Spartanburg, SC",South carolina,,
Kieran Pasco,"Downtown, Washington",New Hampshire,,
Mike,"Bristol, PA",Pennsylvania,,
LH_hrcc,"Jiangsu,China",Texas,,
Josh Williams,"Jupiter, FL",Florida,,
kevin logan,"Philadelphia, PA",Pennsylvania,,
Alex Ayling,"South East, England",Arkansas,,
TJ McGovern,Philadelphia,New York,,
Jaden Henderson,"Orlando, FL",Florida,,
Gabriel Dewa,"Dulwich Hill, Sydney",Florida,,
Sarah Burton,KY,Kentucky,,
Simon morris,"Cobden, Victoria",Virginia,,
DV,"Los Angeles, CA",California,,
Armando8.A,"San Antonio, TX",Texas,,
"¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Kalamazoo"," MI""",Michigan,,
Alan Dragan Smith,"New Hope, PA",Pennsylvania,,
Real_Ike,"SouthSide Chicago, IL",Illinois,,
Michael Grimes,"Darien, IL",Illinois,,
Lilly Cortez,"Marlton, NJ",New jersey,,
Maya,"Philadelphia, PA",Pennsylvania,,
"Matc¬©®π¶¬©‚®π¶¨""Tucson"," AZ""",Arizona,,
War Pigeon,"San Francisco, CA",California,,
Lance Li NgNÂ∑,China,Texas,,
Candace Weindel,"Somerdale, NJ",New jersey,,
Stan.,Berlin,Massachusetts,,
Nando( ¬©®π¶¬©‚®π¶≤6-9¬©®π¶¬©‚®π¶©,"Mishawaka, IN",Indiana,,
Bryan Cox,"Chicago, IL",Illinois,,
Lost in the Sauce,"Drexel Hill, PA",Pennsylvania,,
Michael Nicholls,Sydney,Florida,,
John,"Philadelphia, PA",Pennsylvania,,
Ben I am,Sydney,Florida,,
Anna,"Toronto, Ontario",New York,,
J.P.R.,Earth,Texas,,
Nicky Bear,"Philadelphia, PA",Pennsylvania,,
Daniel Ulrich,"Barnegat Bay, NJ",New jersey,,
Lucas Tavares,"Manaus, Brazil",Indiana,,
Brady Mckee,"Pittsburgh, PA",Pennsylvania,,
Coachjoedrelling,"Quakertown, PA",Pennsylvania,,
"Z&Ç©¥È¢ Ç©¥È¢Â¶°°Z&""","Holland,MI",Michigan,,
ZCZN,"East Cleveland,Ohio",Illinois,,
Omar Hogan,"Lexington, NC",North†Carolina,,
Rocco,"West Hills, Los Angeles",California,,
Chris Barba,"Plymouth, England",Arkansas,,
Rueben,"Milwaukee, WI",Wisconsin,,
meowington93,Sydney,Florida,,
Aaron Veanueva,"Lubbock, TX",Texas,,
Mike Cav,"Ridley Park, PA",Pennsylvania,,
#TeamDeeJay FanPage,"Sacramento, California",Pennsylvania,,
Francesca,"Glenside, PA",Pennsylvania,,
Travis McKay,Philadelphia ,New York,,
Daniel McGee,"Woonsocket, RI",Rhode island,,
"Master Roshi ¬©®π¶¬©‚®π¶¨""Statesboro"," GA""",Georgia,,
Jake piersa,"Deptford, NJ",New jersey,,
Michael Green,"Weatherford, TX",Texas,,
Angel Rivera,"Orlando, Florida",Puerto Rico,,
Caroline Mills,"Philadelphia, PA",Pennsylvania,,
Tania Cupello,"Bear, DE",Delaware,,
Billy Vanner,"Riverside, RI",Rhode island,,
GamingMes or Mes,Mexico,Maine,,
Sebastian Bjrnson,"Los Angeles, CA",California,,
BasedChrist,"Indianapolis,Indiana",Pennsylvania,,
machi,"Gotham, England",Arkansas,,
Connor Hoffman,"Auburn, AL",Alabama,,
Alex Prevatt,"San Diego, CA",California,,
Cole,"Atlanta, GA",Georgia,,
Ron Ballweber,"Syracuse, NY",New†York,,
"Lovensky Jemedy¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Miami","Florida """,Puerto Rico,,
Mikey Maisano,"New Rochelle, NY",New†York,,
777,"Boston, MA",Massachusetts,,
Eric Pickens,"Scranton, PA",Pennsylvania,,
Ivan A.,"Brooklyn, NY",New†York,,
Justin Davison,"Harleysville, PA",Pennsylvania,,
Brian Napoli,"Philadelphia, PA",Pennsylvania,,
Ja'KoBy,Paradise ,Pennsylvania,,
Donovan Dacons,"Philadelphia, PA",Pennsylvania,,
"The Lowkey Tip ¬©®π¶¬©‚®π¶¨""Orlando"," FL""",Florida,,
hi welcome to Chilis,"Topeka, KS",Kansas,,
David Stahly,"Pendleton, IN",Indiana,,
Artist Reese Stay On,"Philadelphia, PA",Pennsylvania,,
James Zuniga,"Boston, MA",Massachusetts,,
RemSHE,"Chicago, IL",Illinois,,
Olive Campbell,Jamaica,Vermont,,
gabriel fernandez,"Fullerton, CA",California,,
Rob Schuck,Philadelphia,New York,,
"Chrxs. ¬©®π¶¬©‚®π¶¨""San Diego"," CA""",California,,
jennie  ann,"Brampton, Ontario",New York,,
Francis G.,Canada,Kentucky,,
Alex Krajunus,"Mercer County, NJ",New jersey,,
Crispin,Perth,North Dakota,,
Chris Breunig,"CMC, NJ",New jersey,,
dae,"Towson, MD",Maryland,,
Maddie Boudreau,"Niagara Falls, NY",New†York,,
That one nigga,"Atlanta, GA",Georgia,,
Sgt MF'n WiLL,"Havelock, NC",North†Carolina,,
Andy Summers,Edinburgh,Indiana,,
Sarah,"Austin, TX",Texas,,
"Gabby¬©®π¶¬©‚®π¶¨""Memphis"," TN""",Tennessee,,
Drew,"Los Angeles, CA",California,,
Slash,"Los Angeles,CA",California,,
SportsPollsDaily,"Dallas, TX",Texas,,
Rodrigo,"Arcata, CA",California,,
"Kee Holmes!""","Philadelphia, PA",Pennsylvania,,
EpicExpertrblx,"Bear, DE",Delaware,,
Todd Whitney,"Brooklyn, NY",New†York,,
matt wang,"Philadelphia, PA",Pennsylvania,,
Jaylin Miller,"Bridgeport, PA",Pennsylvania,,
Sports Hall of Fame,Philadelphia,New York,,
Bill Wade,New York,New York,,
John Aldrich,"Sorrento, LA",California,,
Ellen Verhaeghe,Belgium,Wisconsin,,
Jordan Althaus,"Kansas City, MO",Missouri,,
Edward Singleton,Ohio,Illinois,,
"Vick¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Hollister"," CA""",California,,
PretPret,"Thorofare, NJ",New jersey,,
CeeOwe,"Los Angeles, CA",California,,
Derrick Johnson,"Indianapolis, IN",Indiana,,
Gangland with the right hand,Maryland,New York,,
Tommy,"Schuyler, NE",Nebraska,,
Tommy Maahs,Philadelphia,New York,,
Full-Scale Philly,"Philadelphia, PA",Pennsylvania,,
Ryan Arenson,"New York, NY",New†York,,
MeAgainstTheWorld,"Fayetteville, NC",North†Carolina,,
Fishy,"Philadelphia, PA",Pennsylvania,,
Zed.,"Warner Robins, GA",Georgia,,
Teone Destro,"Turin, Piedmont",West Virginia,,
Leah1195,"Moreno Valley, CA",California,,
James Tan,"Boston, MA",Massachusetts,,
Rat And Puff Show,"Detroit, MI",Michigan,,
Dino Hadziomerovic,"Melbourne, Victoria",Virginia,,
Matthew,"York, PA",Pennsylvania,,
Colonial Middle,"Plymouth Meeting, PA",Pennsylvania,,
Dcio Alexandre,Angola,New York,,
Nasera,"Columbus, OH",Ohio,,
UCantGuardMe,"Hidalgo, Ensenada",Puerto Rico,,
Eagles 16-3,"Tampa, FL",Florida,,
Zach Moreland,"Montrose, CO",Colorado,,
Praveen Kumar,"Los Angeles, CA",California,,
eddie wilbanks,"Finley, TN",Tennessee,,
ang destasio,"Florence, NJ",New jersey,,
Matthew Cahill,"Melbourne, Victoria",Virginia,,
emily,"Chicago, IL",Illinois,,
Austin Newell,"Irmo, SC",South carolina,,
Ryan,"Hermosa Beach, CA",California,,
Trust The Podcast,"Ontario, Canada",Kentucky,,
Dave Yothers,"Sellersville, PA",Pennsylvania,,
ladybug,Philadelphia,New York,,
Scott Wedman,"Kansas City, MO",Missouri,,
Juan A. Santacruz Jr,"Visalia, CA",California,,
KC NBA,"Kansas City, MO",Missouri,,
Nyla Rayford,"Oswego, IL",Illinois,,
Lucas Monroe,"Abington, PA",Pennsylvania,,
Savanna Duecaster,"Warren, OH",Ohio,,
Lil Charlie,"Cincinnati, OH",Ohio,,
Nik Watson,Canada,Kentucky,,
Dominic Esquivel,"Twain Harte, CA",California,,
"Ian¬©®π¶¬©‚®π¶¨""Harrisburg"," NC""",North†Carolina,,
Cristina Rose,"Smyrna, DE",Delaware,,
James Chappel,Melbourne,Florida,,
Kiet Le,"Toronto, Ontario",New York,,
Anthony Nese,Chicago,Illinois,,
"The Real 13¬©®π¶¬©‚®π¶¨""Charleston"," SC""",South carolina,,
JLowe Racing,"Villanova, PA",Pennsylvania,,
CB,"Toronto, Ontario",New York,,
Amy,"Seattle, WA",Washington,,
Dwayne Wharton,"Philly, PA",Pennsylvania,,
¬©®π¶¬©‚®π¢·vid,"Gainesville, FL",Florida,,
(SbZQ)0uN,"Bear, DE",Delaware,,
garyc,"Philadelphia, PA",Pennsylvania,,
Jaime,"Melbourne, Victoria",Virginia,,
Mata,"Chino Hills, CA",California,,
Craig Essig,"Cape May Court House, NJ",New jersey,,
Conrad O'Donnell,Donegal,Pennsylvania,,
Joe JUiCE McCarthy,"Newark, DE",Delaware,,
Omar Khalifa,"Zamalek, Egypt",Arkansas,,
Brady and Embiid MVP SZN,"Philadelphia, PA",Pennsylvania,,
Robert Dougherty,"Clarks Summit, PA",Pennsylvania,,
Alex Duffy,"Annapolis,MD",Maryland,,
Joo Pedro Amaral,"Los Angeles, CA",California,,
Nicky Barnes,"Atlanta, GA",Georgia,,
Jack Ashby,"London, England",Arkansas,,
Austin McCaffrey,"Seattle, WA",Washington,,
"Dylan¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Southington"," CT""",Connecticut,,
Brandon,"Keuka Park, NY",New†York,,
Bhagbir Hundal,"San Francisco, CA",California,,
Dan Riehle,"Santa Clara, CA",California,,
Walter Murphy,"Portsmouth, New Hampshire",Ohio,,
Berto,Philadelphia,New York,,
swingmanswish,"San Diego, CA",California,,
"Lola¬©®π¶¬©‚®π¶¨""Kent"," Ohio""",Illinois,,
Mario Perez,"Irving, TX",Texas,,
basketball head.,"Los Angeles, CA",California,,
Justin DeCoskey,"Hollidaysburg, PA",Pennsylvania,,
Bryan Woods,"Baton Rouge, LA",California,,
Adrian Carrera,"Casa Grande, AZ",Arizona,,
Birds&Ballers,"Philadelphia, PA",Pennsylvania,,
Darren,"Wrightsville Beach, NC",North†Carolina,,
Comets Basketball,Philadelphia,New York,,
Chill Palace Sports,"Minneapolis, MN",Minnesota,,
Scott D. Smith,"West Chester, PA",Pennsylvania,,
Ant,"Miami, FL",Florida,,
Mamdouh M Khair,Sudan,Texas,,
Brendan Steakelum,"Souderton, PA",Pennsylvania,,
Chris Chaney,"Scottsdale, AZ",Arizona,,
William Zuspan II,"Mason City, WV | Newark, OH",Ohio,,
Chrimps,"Lowell, MA",Massachusetts,,
alyssa ¬©®π¶¬©‚®π¶¨Philadelphia ,New York,,,
Russell Post,"New Hope, PA",Pennsylvania,,
Ryan Schmidt,Philadelphia,New York,,
Michael Halili,"Chicago, IL",Illinois,,
Preston Webb,"Farragut, TN",Tennessee,,
"¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π
 B&","Denham Springs, LA",California,,
Girl Talk Marlton,"Marlton, NJ",New jersey,,
Jason Argyris,"Haddonfield, NJ",New jersey,,
Tayisha Shianna,"Irvington, NJ",New jersey,,
Talhira Mondesir,"Hamilton, NY",New†York,,
Patrick,"Cork, Ireland",West Virginia,,
Dicky B,Chicago,Illinois,,
"SG ET¬©®π¶¬©‚®π¶¨""Chicago"," IL""",Illinois,,
Dan Patrick Show,"Milford, CT",Connecticut,,
Elle Kedric,Sydney,Florida,,
Danilo,Italy,Texas,,
Simon Fitzpatrick,"Melbourne, Victoria",Virginia,,
\~Ô¢Å,"Philadelphia, PA",Pennsylvania,,
Aaron Hochgertel,"Auburn, PA",Pennsylvania,,
James Huddle,"Melbourne, Victoria",Virginia,,
Abdiwahab mohamoud,"Columbus, OH",Ohio,,
Rokya Kaba,"Silver Spring, MD",Maryland,,
AJ Ramirez,"Tallahassee, FL",Florida,,
Jasmine Willis,"Philadelphia, PA",Pennsylvania,,
Mo,"Oxnard, CA",California,,
Mark Kromer,"Seattle, WA",Washington,,
"gabe ¬©®π¶¬©‚®π ¬©®π¶¬©‚®π¶¨""Manitowoc"," WI""",Wisconsin,,
"[yß¨""Newark"," DE""",Delaware,,
Michael,"Redwood City, CA",California,,
Ronnie,"La Mirada, California",Pennsylvania,,
Henry Vogt,"San Antonio, TX",Texas,,
SHAINFREAKINGJOHNSON,"Springfield, MO",Missouri,,
D.J. Windsor,"Colusa, CA",California,,
GreenLightViews,"Tampa, FL",Florida,,
Austin Scott,"Rotterdam, NY",New†York,,
Anthony Ortega,"Miami, FL",Florida,,
Corey Barker,"Pittsburgh, PA",Pennsylvania,,
Shakeisha Henderson,"Dayton, OH",Ohio,,
Drew IQ &',"San Antonio, TX",Texas,,
Nick wheeler,"Westminster, CO",Colorado,,
Sean Flanigan,"Wilmington, DE",Delaware,,
Brandon Rowe,Saint Albans ,Maine,,
Jack Kelly,"North Olmsted, OH",Ohio,,
D Y L A N,"Columbus, OH",Ohio,,
Savannah Oxenhirt,"Brewster, NY",New†York,,
weiwen huang,"Philadelphia, PA",Pennsylvania,,
Yung Wings,"Melbourne, Victoria",Virginia,,
Blake Whitby,"Perth, WA",Washington,,
Anthony Rullo,"Pennsauken, NJ",New jersey,,
Kailey Tuhacek,"Norristown, PA",Pennsylvania,,
Sergei Bobrovsky,"Glassboro, NJ",New jersey,,
Jevonte Scott,"Sumter, SC",South carolina,,
President Chou,"Shenzhen, China",Texas,,
Jake Nunmaker,"Abita Springs, LA",California,,
Steph,"Pittsburgh, PA",Pennsylvania,,
Ben Wieland,"Shawnee, KS",Kansas,,
DFSAmatuer,"Denver, CO",Colorado,,
Chris McCoy,"Fort Wayne, IN",Indiana,,
Naomi Hotton,Melbourne ,Florida,,
Javier,"Oakland, CA",California,,
"Melo Smoove¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Atlanta"," GA""",Georgia,,
Starboy,"London, England",Arkansas,,
Vlad Kim,"Derby, England",Arkansas,,
Lee Meadows,Melbourne,Florida,,
david,"Douglassville, PA",Pennsylvania,,
Alex Davis,"Biloxi, MS",Mississippi,,
Bowen Best,"Waunakee, WI",Wisconsin,,
Carol Evans,"Rhawnhurst, Philadelphia",New York,,
Expression Dance,"Williamstown, NJ",New jersey,,
Ian Maxwell,"Edmonton, Alberta",Virginia,,
Blyake Price,"Houston, TX",Texas,,
Triston OG GAMER,"Memphis , TN",Tennessee,,
"Bobby¬©®π¶¬©‚®π¶¨""Blackwood"," NJ""",New jersey,,
KVNG x Baker,"Melbourne, FL",Florida,,
Patrick Russell,"Newtown, PA",Pennsylvania,,
Leroy,"Ermington, Sydney",Florida,,
Read McKaine,"Hockessin, DE",Delaware,,
Oj Pilkington,"Blackpool, England",Arkansas,,
King SF,"Kenmore, NY",New†York,,
ClearviewHSFootball,"Mullica Hill, NJ",New jersey,,
Mark Blocker,"New York, NY",New†York,,
Bill Fithall,Melbourne,Florida,,
Thomas Bryant,"Virginia Beach, VA",Virginia,,
Rorosworld,"Elgin, SC",South carolina,,
Jaime Rodriguez,"Falls Church, VA",Virginia,,
"JUST-A-DUB ¬©®π¶¬©‚®π¶¨""Memphis"," TN""",Tennessee,,
Jonathan Boyle,"London, England",Arkansas,,
Derrick Hester ha,"Colorado Springs, CO",Colorado,,
Steve Nelson,"Philadelphia, PA",Pennsylvania,,
charles breese,"Willow Grove, PA",Pennsylvania,,
Ki Var,"KENOSHA, WI AND WOODLANDHILLS,CA",California,,
