V1,V2,Lonzo Ball,
JEFUSmgmt,"TwinCities, USA",America,
gfHa,"Taipei City, Taiwan",Taiwan,
Paul Quiao,"Quezon City, Philippines",Philippines,
krystal castorena,"Wichita, KS",America,
1888,"South Central Los Angeles, CA",America,
AquezD',"Colton, CA",America,
Dace Star(',"Seminole, OK",America,
Tyson Palato,"Colorado, USA",America,
Trysten & Coral,"Oceanside, CA",America,
Dr Philinyoass,FL,America,
Elias Capo,"Massachusetts, USA",America,
thomasjk56,"Michigan, USA",America,
Juan Cittadini,"Bountiful,Utah",America,
EiJay,"Ontario, Canada",Canada,
Aha bu Shaq,Jamaica,Jamaica,
#RBLE | Sunny & Gabe,VA,America,
Rene Rodriguez,"Salina, KS",America,
Kollin Eberhardt,"North Dakota, USA",America,
Genesis Echeverria,"Los Angeles, CA",America,
Mackenzie Arnold,"Massachusetts, USA",America,
Dick,"Hell, MI",America,
amandabruhsf,"Stockton, CA",America,
PK,Canada,Canada,
Kelsey_lynn727,"New York, USA",America,
Jadaa&,"Jacksonville, FL",America,
Nkateko Teks Ngwenya,"Johannesburg, South Africa",South Africa,
"Jenise Â©¨¹¦Â©â¨¹¦¬""Newport"," Arkansas""",America,
Andrew,"California, USA",America,
Les,"New Mexico, USA",America,
Jonah Strom,"Rubidoux, CA",America,
Payton Skands,"California, USA",America,
Lachie Pearce,Australia,Australia,
Malik Brooks,"Los Angeles, CA",America,
ky,"Arizona, USA",America,
Erica,SC,America,
Calvin Collins,"Fort Myers, FL",America,
The Los Angeles Lakers,"Los Angeles, CA",America,
Carrington Anokwuru,"Houston, TX",America,
victor,"Detroit, MI",America,
<0@68=. ,"Ulaanbaatar, Mongolia",Mongolia,
Joao Pedro Correa,"Viera West, FL",America,
Isaiah A. Sepulveda,"Bellflower, CA",America,
#CowboysNation (3-3),"Newark, DE",America,
"El PASO DRACO 500K !""","Brenham to El Paso, TX",America,
Jason Ostlund,"Casper, WY",America,
JWilson,United States,America,
Trey ol,"Edinburg, TX",America,
Meech,"STL---Pittsburg, KS",America,
Jen Dozzi,"San Antonio, TX",America,
Trey Rainey,"Maryland, USA",America,
jeremiah dwyer,"Creve Coeur, MO",America,
Jesse Ramirez,"Lynwood, CA",America,
"Trent Lyons Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Toledo"," OH""",America,
"Manny2k Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹
 B&","Los Angeles, CA",America,
israel castillo,"Miami, FL",America,
Mohammed Nani Farhat,"Sydney, Australia",Australia,
Daniel Gligich,"Fresno, CA",America,
Portland ComedyCo-op,"Portland, ME",America,
"Glory BoyÂ©¨¹¦Â©â¨¹¦¬""Chula Vista"," CA""",America,
Nick Soman,"San Francisco, CA",America,
Ryan Gregory,"Quincy, MA",America,
ulric  johnson,"Georgia, USA",America,
Shane Duckworth,Arkansas,America,
Mackenzie Watten,"Oakland, CA",America,
Andrea Urban,"Pocatello, ID",America,
"Logan Brandriff Â©¨¹¦Â©â¨¹¦¬""Branford"," CT""",America,
Drewbie,"La Crosse, WI",America,
Rich Wayne,"North Miami Beach, FL",America,
matthew duncan,"Waterloo, IA",America,
feriado,"Rio de Janeiro, Brazil",Brazil,
Clutch,"New York, NY",America,
Joshua Hogan,"Austin, TX",America,
Christian Miranda,"Houston, TX",America,
Crystal Kennedy,"Eastvale, CA",America,
Roberto Grassi,Doha,Qatar,
"mari888 Â©¨¹¦Â©â¨¹¦¬""Hometown Las Vegas"," NV""",America,
Mdoh Vango,"California, USA",America,
Cody Welker,"Phoenix, AZ",America,
Ding Jinhua,Singapore,Singapore,
Ben mcallister,"Phenix City, AL",America,
The Homie - Dreebo,"Los Angeles, CA",America,
Thomas Cuomo,"Oregon, USA",America,
Jassy Saini,"Plainview, NY",America,
Anthony Katz,"Chicago, IL",America,
kip s,"Southside, AL",America,
Michael Mack,"Cambridge, OH",America,
"Matthew Otero Â©¨¹¦Â©â¨¹¦¬""New York"," USA""",America,
Alexander Lefler,"Houston, TX",America,
Imperial Rule,"California, USA",America,
HennyandBluntz,"Litty,TX",America,
Cole Stiffler,"Michigan, USA",America,
Duban Cceres,"Tunja, Colombia",Colombia,
Kpyro3op,Nairobi,Kenya,
Vikings Empire,"South Carolina, USA",America,
mia,"Long Beach, CA",America,
Michael jefry Diaz F,Dominican Republic,Dominican Republic,
Jdrzej Nowe,"New York, NY",America,
Julian,"Palm Beach Gardens, FL",America,
Chelsie Hinckley,"Buffalo, NY",America,
AJ Shaw,"Florida, USA",America,
Elijah Jalil Lee,"Georgia, USA",America,
JÂ©¨¹¦Â©â¨¹vanny,"Chicago, IL",America,
Thomas Berle,"Stockbridge, MA",America,
Dan,"Greece, NY",America,
Andrew Diaz,"California, USA",America,
"IG: Mahika_tshepiso!""",South Africa,South Africa,
Christian Cazares,"Adelanto, CA",America,
Eric Pendley,Alabama,America,
Kirstyn Richards,"Eldorado, Ohio",America,
Jacob Diesselhorst,"Oklahoma City, Oklahoma, USA",America,
Bruno S.,"Sao Paulo, Brazil",Brazil,
Jamal Ali,Canada,Canada,
Ty McKnight,"Portland, OR",America,
"evil spice 11/24 Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Chicago"," IL""",America,
RiCh on Da bEaT,"Los Angeles, CA",America,
reid pace,"Ensley, FL",America,
Nk,"Memphis, TN",America,
RaniAlammare,"Dearborn, MI",America,
Jeff Miller,"Hermosa Beach, California",America,
"Raiderette_BB510Â©¨¹¦Â©â¨¹¦¬""Fremont"," CA""",America,
Marcus V. Toledo,"Sao Paulo, Brazil",Brazil,
Juan Ignacio Cornejo,"Carahue, Araucania, Chile",Chile,
alan cardek,"Belo Horizonte, Brazil",Brazil,
Marissa Kraines,"San Francisco, CA",America,
Matthew,NY,America,
JESSICAMOORE,"Dallas, TX",America,
B White,"Sidney, OH",America,
NYACK HOOPS,"NYACK, NY",America,
LightSpeed,"Fort Wayne, IN",America,
Rod Rueda,"Cambrian Park, CA",America,
Daniel Martinez,"Phoenix, AZ",America,
Emily Bartos,"Pickerington, OH",America,
"Ben Â©¨¹¦Â©â¨¹¦¬""Scotland"," United Kingdom""",United Kingdom,
TJ Gibson,"Los Angeles, CA",America,
Tony D'Amico,Ohio,America,
Ashanti,"Chicago, IL",America,
Moises lara,"Compton, CA",America,
Steven,"Esparza, Costa Rica",Costa Rica,
Ben Campbell,"North Liberty, IA",America,
Ya mothas onion,"Berkley, MA ",America,
Vincent Raya,"Lompoc, CA",America,
Brett Murray,"Midland Park, NJ",America,
Bruce Davis,"Oatfield, OR",America,
Micah Speck,"Texas, USA",America,
Joseph Patrick,"California, USA",America,
Ryan Jennings,"Greenville,SC",America,
Jermiah Settler,"Diboll, TX",America,
Daniela Yabar,"Lima, Peru",Peru,
Charlie Harrington,"Marshall, MI",America,
SJB,Canada,Canada,
Chris J Bourassa,"Grand Rapids, MI",America,
Alisal Athletics,"Salinas, CA",America,
Anthony Bayer,"Selden, NY",America,
Jordan Myers,"Seattle, WA",America,
Marley_Dreads,"Slidell, LA",America,
Bryce Desousa,"Seattle, WA",America,
WTRS,"Florida, USA",America,
zach plitzuweit,"Surprise, AZ",America,
"Fresh PrinceÂ©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Sterling Heights"," MI""",America,
Susan,"Orange Park, FL",America,
L.A. Gonzalez,"Kingsville, TX",America,
SergiDrumz,"Capdepera, Spain",Spain,
Teresty,China,China,
Sanchez Fair,"Charlotte, NC",America,
Doug,Iowa,America,
"Brian L. Ponder, Esq","New York, NY",America,
Papi Shampoo,"Pueblo, CO",America,
Zack,"Moore, OK",America,
Swift Productions,"Wichita, KS",America,
jaxon whitworth,United States,America,
Julian,"Palmdale, CA",America,
Marcus Gonzalez,"Cleveland, OH",America,
Francisco Galarza,Colombia,Colombia,
Jonathan,"Scottsdale, AZ",America,
nick mickelson,United States,America,
Nathanyel Rodriguez,"Hobbs, NM",America,
SnekyDoodleFish,United States,America,
D. Wayne Radcliffe,United States,America,
jeff Â©¨¹¦Â©â¨¹c',"Texas, USA",America,
RusticDauphin,"Philadelphia, PA",America,
janae,"El Reno, OK",America,
heather,UK,United Kingdom,
MamesÂ©¨¹¦Â©â¨¹¦Ë,"Nevada, USA",America,
Cleveland Eatman,"Hopatcong, NJ",America,
CHEFGIRLRDEE2,United States,America,
Chelsea Clipperton,"Phoenix, AZ",America,
Sandy H,"West Bloomfield Township, MI",America,
AmyB,"Fort Stockton, TX",America,
Michael Kress,"Boston, MA",America,
Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Íitch  Fernando,"Phoenix, AZ",America,
zach wheeler,"Cortland, NY",America,
Shimmy.x,"Jersey City, NJ",America,
ApoCalixte,"Bordeaux, France",France,
Christian Richardson,"Pensacola, FL",America,
Jarrod Lien,"Hilton Head Island, SC",America,
Parker,Antarctica,Antarctica,
Team Rampage Sports,"Maryland, USA",America,
Scott,"Houston, TX",America,
NYC2406 Kevin,"New York, NY",America,
PA Golf Association,"Broomall, PA",America,
Grace Hamilton,"Georgia, USA",America,
Michael Chiang,"Queens, NY",America,
ROBERT GORDON,"Florida, USA",America,
Jesus Chavez,"Pueblo, CO",America,
Seth Hayes,"Beaver, PA",America,
Sam,"Colorado, USA",America,
trethagoatÂ©¨¹¦Â©â¨¹¦¬United States,America,,
Zakye  Bowens,"Georgia, USA",America,
Dreamer,"New York, NY",America,
Jenny,"Winchester, VA",America,
Trent Reed,"Nebraska, USA",America,
"KING.KARIÂ©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""South Carolina"," USA""",America,
Dan Morales,"Los Angeles, CA",America,
Arnell James,"New Mexico, USA",America,
Remington Bankston,"Mississippi, USA",America,
Seth Longbottom,USA,America,
Cody,NC,America,
"SuperDuper Kailah Â©¨¹¦Â©â¨¹¦¬""Lawton"," OK""",America,
¨¹,"Tokyo-to, Japan",Japan,
Vic,Iowa,America,
Justin,"Boston, MA",America,
"Royal DawuuÂ©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Virginia"," USA""",America,
IamBignate,"Kankakee, IL",America,
abc,"Bettendorf, IA",America,
Jaiden Balagtas,United States,America,
Korean Moses,"Queens, NY",America,
Kathaleen Stapleford,"Maysel , Clay County, WV",America,
Cameron Coury,"Michigan, USA",America,
Juan Contreras,"Simi Valley, CA",America,
Logan Roth,"Michigan, USA",America,
Bambino,"Reno, NV",America,
Derek Cervantes,"Denver, CO",America,
Iam_amrodgers,"Cincinnati, OH",America,
Neil,"Florida, USA",America,
Angelo Rodriguez,"West Jordan, UT",America,
Hampton Watson,United States,America,
"D A E D A E Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Memphis"," TN""",America,
C Anderson,United States,America,
TakeOver,United States,America,
Dan J Smith,"St. Petersburg,  FL",America,
Todd Burton,"Philadelphia, PA",America,
Bo Bernstein,"California, USA",America,
VidaDeNosotros,"Puerto Rico, USA",America,
Nicholas Horak,"Pleasant Prairie, WI",America,
Kevon Harvey,"Huntingdon, Tennessee ",America,
"KaimanaÂ©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Arizona"," USA""",America,
Ethan Tucker,"Tucson, AZ",America,
"b. chalmers 
'Â©¨¹¦Â©â¨¹¦¢,Virginia Beach"," VA""",America,
drugs washington,"Baltimore, MD",America,
"D-ROB!'""","Mowrystown, Ohio",America,
Paolo Velasco,"Los Angeles, CA",America,
Jon Fowler,"Jersey City, NJ",America,
Cory,"Los Angeles, CA",America,
Steven,"California, USA",America,
The Zeiger Firm,"Philadelphia, PA",America,
Kvng,"San Diego, CA",America,
NaKimberly Edwards,"Clarksville, TX",America,
Christian Reed,"Los Angeles, CA",America,
Jorge Urrutia,NYC,America,
Corey Poston,"Tennessee, USA",America,
Ryan Montoya,"Sacramento, CA",America,
maliqueciarmataro,"Layton, UT",America,
Blanca A. Benavides,"Texas, USA",America,
Pedro Rodrigues,Rio de Janeiro,Brazil,
¢Ãhaney,"Red Oak, TX",America,
xuanmande,"California, USA",America,
Juan Tony Mintoya,"Detroit, MI",America,
Waseem Ayoub,Ottawa,Canada,
Galvatron,"Corona, CA",America,
Mrs RollinDiva,"Durham, NC",America,
Tanner Lueker,"Lawrence, KS",America,
Dave,"Chicago, IL",America,
YUNG ACE,"Elizabeth, NJ",America,
"Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Los Angeles"," CA""",America,
Joelle Goodwin,"Eugene, Oregon",America,
Jackson Maas,"Wisconsin, USA",America,
A Lusup,United States,America,
Kaden Trotter,USA,America,
"40's n Shorty'sÂ©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""I get around ","USA""",America,
Diego avitia,"Yuma, Arizona",America,
"NadiaÂ©¨¹¦Â©â¨¹¦¬""El Paso"," TX""",America,
KD Dahn,"Norman, OK",America,
Phillip Yuan,"San Ramon, CA",America,
Lateja Enochs,"Chicago, IL",America,
MC_15,"Virginia, USA",America,
BostonBarsSouth,United States,America,
Crystal G Hundley,Louisiana,America,
Ricegum,"Los Angeles, CA",America,
Kevin Hutchins,United States,America,
Anthony Lascio,"Prospect Park, PA",America,
Justin,"Milford, CT",America,
JB,"California, USA",America,
Tony Pires,United States,America,
Dominick Abate,"Mt. Pleasant Mills, PA",America,
Mannix Resto Jr,"Medford, MA",America,
doc,"Memphis, TN",America,
Evan Solter,"Larkspur, CA",America,
Vandy Parrott,"Edison, NJ",America,
BANIEH LAW FIRM,"Houston, TX",America,
M Lee James,"Dallas, TX",America,
Chrishon Cook,"Niagara Falls, NY",America,
"mGrnd @'  a&Â©¨¹¦Â©â¨¹¦¬""Ohiopyle"," PA""",America,
E. Chance Keenan,"Redondo Beach, CA",America,
Elizabeth Castaneda,"Florida, USA",America,
Tanigawa,"San Francisco, CA",America,
DeeJayX,"Fortaleza, Brazil",Brazil,
Alex Kolosow II,"Huntington Beach, CA",America,
Roy Minato,"Irvine, CA",America,
Hype,"Winston-Salem, NC",America,
@zeyfrom.803,"South Carolina, USA",America,
Rick Galindo,"Chattanooga, TN",America,
Juice ,"Syracuse, NY",America,
LibertarianLatina,"Monterey Bay, CA",America,
Debra A WalkerHill,"Pennsylvania, USA",America,
"< ¢Ó E A N ! < """,United States,America,
hannah,"Franklinton, LA",America,
Don Pettygrove,"Grand Junction, Colorado, USA",America,
Stay',"Norwalk, CT",America,
Adam Carreno,"Huntersville, NC",America,
Alex Marmolejo,"California, USA",America,
Reggie Sharpe,"Hinesville, GA",America,
ViolenceTube,"Massachusetts, USA",America,
Jaylen Micheal Smith,"Memphis, TN",America,
watcher,"Los Angeles, CA",America,
Chandler Charite,"Gainesville, FL",America,
Luqman Swinney,"Kansas City, MO",America,
Marc Jacob,"Philadelphia, PA",America,
daniel castillo,"Montebello, CA",America,
EsePincheCheriosLokte,"Fresno, CA",America,
22 Thankful Squash,"Cleveland, OH",America,
Damien Rhone,"Biscoe, NC",America,
Michael Lambert,NYC,America,
#DavonteStrong,"Cambridge, MA",America,
Myron B. Pitts D',"Fayetteville, NC",America,
Sheipy Gosal,"Yuba City, CA",America,
Santa Ynez Pirate Baseball,"Santa Ynez, CA",America,
Jon,"Fredericksburg, VA",America,
Alyssa,"Tucson, AZ",America,
Alex Enroth,"Olivehurst, CA",America,
Tremel,United States,America,
Gage Carroway,"Monroe, LA",America,
Charlie Speake,"Hoover, AL",America,
Nelly,"California, USA",America,
Davin,United States,America,
Emelie Knobloch,"Wichita, KS",America,
STR8-_-Whites,"Tampa,Florida",America,
estela estrada,United States,America,
Anthony Winslow,"California, USA",America,
Tanner Day,"West Virginia, USA",America,
Lanece Maxey,"Texas City, TX",America,
Lauren Michaels,"San Diego, CA",America,
Cameron Bradley,"Verona, PA",America,
"Princess Mariii Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Alpine"," TX""",America,
mando,"San Antonio, TX",America,
Gustavo A.,"Atlanta, GA",America,
Shavar Ross,"Los Angeles, CA",America,
MDÂ©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦®,"Georgia, USA",America,
('Victoria(',"Momence,IL",America,
Danny,United States,America,
Campbell Cerff,"Cape Town, South Africa",South Africa,
EHK,"Oakland, CA",America,
SurinderGrewal,"California, USA",America,
Tim [LTC],"Salem, OR",America,
KaseemLivingstonJr.,"Brooklyn, NY",America,
Regina Williams,"Beaumont, TX",America,
"D.Â©¨¹¦Â©â¨¹¦¬""Georgia"," USA """,America,
bigtime or bigmike,"Lindale, TX",America,
IG: MrPelt_ToU,"Huntsville, AL",America,
Killer B Gaming,"Fort Wayne, IN",America,
Tim Saito,"Danville, IN",America,
Joe Galatica,"Portsmouth, OH",America,
a1b.rian,"Riverside, CA",America,
torey,"Conway, AR",America,
King Alex,"Akron, OH",America,
Wil Padgett,United States,America,
Akram Ahmed,Canada,Canada,
Ty,"Medina, TN",America,
King,"Orlando, FL",America,
Ameya,"New York, NY",America,
Shawndel Hughley,"Stockton, CA",America,
Moses Esan,"Dublin, Ireland",Ireland,
"HBÂ©¨¹¦Â©â¨¹¦¬""Columbus"," OH""",America,
Braden Timmering,"Prospect, KY",America,
oskar Markus Evans,"Pussay, France",France,
Verone Thomas,"Lake Charles, LA",America,
Dave,"Reid, Canberra",Australia,
Davon Lambert,"New Port Richey, FL",America,
Harrison J. Romero,"Erie, PA",America,
Alfonso,"North Carolina, USA",America,
Roy-Allen Bumpers,"Cleveland, OH",America,
Jonathan,"Surprise, AZ",America,
Kiko & G,"Denver, CO",America,
Garry,"Atlanta, GA",America,
mudell66,"Miami, FL",America,
Porchia Armstrong,"Mississippi, USA",America,
(((Doug Levin))),"Beachwood, Ohio",America,
Collin Chambers,"Louisville, OH",America,
Â©¨¹¦Â©â¨¹¦Æit Mom of Many Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬United States,America,,
Five Hole This,"Houston, TX",America,
d'APowerFulQueend',"Austin, TX",America,
Kimnmjn,"Pennsylvania, USA",America,
B_Rob 23,"Houston, TX",America,
Michael Snajczuk,"Buffalo, NY",America,
TCKTweets,USA,America,
Veronica Dunlavy,"Derby, Kansas",America,
Childish Cmbino,"West Sacramento, CA",America,
Trap Jaw,United Kingdom,United Kingdom,
Denim Mcdade,United States,America,
Smoky's Royal Oak,"303 S. Main St Royal Oak, MI ",America,
Gabe Perez,"Carmichael, CA",America,
Philip Vaughn,"Ohio, USA",America,
YOUNG.LATSCHA,"Azusa, CA",America,
SmartLib,"New York, USA",America,
Tyler Gadson,"Hopkins, SC",America,
Stevie Mack,"Hollywood, CA",America,
"muÂ©¨¹¦Â©â¨¹¦¬""Kent"," UK """,United Kingdom,
Markez Love,"Jonesboro, GA",America,
Bobby De'niro,"Denver, CO",America,
Christopher Castro,"Des Moines, IA",America,
Kush_kingg,"New Orleans, LA",America,
Lala Loopsy,"Los Angeles, CA",America,
Sylvia D. Minnifield,Ohio ,America,
Derrick,"Columbus, Ohio",America,
trin,"Lima, OH",America,
Ryan Strauss,"Ann Arbor, MI",America,
Shelbie Dillow,Indiana,America,
Kim,"New Jersey, USA",America,
Brian James Ross,"Naperville, IL",America,
Roxie Smith,"California, USA",America,
Isiah Pinckney,"South Carolina, USA",America,
"AaronÂ©¨¹¦Â©â¨¹¦¬""Woodmore"," MD""",America,
Xavier Johnson,"Chicago, IL",America,
Shea Williams,"North Carolina, USA",America,
TTM Advisors,"Brooklyn, NY",America,
ryllie,Florida,America,
"DÂ©¨¹¦Â©â¨¹¦¬""Barrigada"," GU""",Guam,
nick_sb_,"Oxnard, CA",America,
jesse,"Arizona, USA",America,
Ben Aldridge,"Lincoln, NE",America,
Giancarlo,"National City, CA",America,
MattKingW6,"Los Angeles, CA",America,
Malik Canty,"Brooklyn, NY",America,
Aldin,"Utica, NY",America,
Matt,United States,America,
RonÂ©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬United States,America,,
Gr+ntls na,Latvia,Latvia,
BrianGuez,"Santa Monica, CA",America,
Everybody hates Stan,"Lawrenceville, GA",America,
Caroline Elizabeth,"Buffalo, NY",America,
Will Love,"Chicago, IL",America,
No_Clout_Needed,"Calverton, MD",America,
Joseph M Lison,Wyoming,America,
Henry,"Kentucky, USA",America,
Stephen Wright,"Dallas, Texas",America,
ItzCaponeFolkz,"Oklahoma City, OK",America,
Cherny Amhara FOX5,"Las Vegas, NV",America,
"Â©¨¹¦Â©â¨¹¦Ñueen StaceyÂ©¨¹¦Â©â¨¹¦¬""Los Angeles"," CA""",America,
"class of '18 Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Douglasville"," GA""",America,
AJ Dugas,"Michigan, USA",America,
Chase Almodovar,"Saylorsburg, PA",America,
Ronnie Mansour,"Buffalo, NY",America,
"santa sageÂ©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Auburn"," AL""",America,
Monique Cantu,"Houston, TX",America,
NPC-HOVA,"Northside, Port City, NC",America,
Ryan,"Fort Mill, SC",America,
Ian Bey,"Sacramento, CA",America,
JeremyTJames,"Cherry Hill, NJ",America,
"Ivan Guevarra, PTRP","Los Angeles, CA",America,
william august mann,"Indiana, USA",America,
Li_Pablo,"Baton Rouge, LA",America,
barce11o,"Westminster, CO",America,
X,"Baltimore, MD",America,
I BET U WON'T,"Michigan, USA",America,
Ethanyeager,"Soldotna, AK",America,
THE BLACK FACTION,"WARLANDO, FL",America,
Carlos Bendo Cruz Jr.,Philippines,Philippines,
Britney Jones,"Atlanta, GA",America,
Jesus Garcia,"Minnesota, USA",America,
Logan,"Show Low, AZ",America,
"Josh PantojaÂ©¨¹¦Â©â¨¹¦¬""West Whittier"," CA""",America,
Jeremy Smith,"Fort Mitchell, KY",America,
Mitch Athey,"Rochester, MN",America,
Melissa Willie,"Memphis, TN",America,
Elijah Daniels,"Glendive, MT",America,
Ryan Moore,"Boise, Idaho",America,
Cephus,United States,America,
Lejla Mustafic,"Urbandale, IA",America,
Margaux,"Minneapolis, MN",America,
Karen Matusic,"Fort Worth, TX",America,
Nancy Cassano,"Cherry Hill, NJ",America,
Davin,"West Lake Stevens, WA",America,
Simmons Lauderdale,"Madison, MS",America,
W.K.Lumpkin,"Georgia, USA",America,
tlc36,Canada,Canada,
"MateÂ©¨¹¦Â©â¨¹¦¬""Tucson"," AZ""",America,
Nathan Barragan,"Huntington Park, CA",America,
"drea Â©¨¹¦Â©â¨¹¦¬""Pocatello"," ID""",America,
YLacree,"Chicago, IL",America,
Ty Englehart,"Florida, USA",America,
Bryce Young,"Rochester,PA",America,
"Leola Â©¨¹¦Â©â¨¹¦¬""Batesburg"," SC""",America,
Farace,"Washington, USA",America,
Danette Mack,"Georgia, USA",America,
America,"Athens, GA",America,
Ana Mena Asprilla,"Greenlawn, NY",America,
TG0310,"New York, NY",America,
"PROFIT Â©¨¹¦Â©â¨¹¦¬""Atlanta"," GA""",America,
Cloyd Roberts IV,"Long Beach, CA",America,
"Â©¨¹¦Â©â¨¹¦Álmighty Elite Â©¨¹¦Â©â¨¹¦¬""Chicago", IL ' Minneapolis," MN""",America
rell ligon,"Philadelphia, PA",America,
"#Â©¨¹¦Â©â¨¹
 Â©¨¹¦Â©â¨¹¦ÓkittlesÂ©¨¹¦Â©â¨¹¦¢,Lexington"," KY""",America,
Connor West,"Hatton, Alabama",America,
William  E. Gattis,"North Carolina, USA",America,
Alex Sandoval,"Pittsburgh, PA",America,
"Hey young rod Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Memphis"," TN""",America,
Nishul Juneja,"Atlanta, Georgia",America,
Iya Isoke,"San Diego, CA",America,
Uziel Montoya,"Irvine, CA",America,
modern fleurs,"California, USA",America,
Imelta,"Orlando, FL",America,
Matthew White,"Kingston, PA",America,
"lea= ('Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""South Holland"," IL""",America,
Duchess,United States,America,
!T.!T.rbC,"Opelika / Auburn, Alabama",America,
BenLenox,Wisconsin,America,
Zwelkiss,United States,America,
FitnessBabyGirlÂ©¨¹¦Â©â¨¹¦¬Virginia,America,,
kyle anderson,"New Jersey, USA",America,
Isaac,"Los Angeles, CA",America,
Los Angeles All Day,"Los Angeles, CA",America,
Nauti,"Atlanta, GA",America,
"Jay Son,Nice Don",Atlanta,America,
Austin Shirey,"Chattanooga, TN",America,
Siobhan H McDonnell,"Houston, TX",America,
Jess,"Indianapolis, IN",America,
Oumar Anne,"Tennessee, USA",America,
Denise,"Mission, TX",America,
Matthew Salinas,"San Juan, TX",America,
Nikitia Tillman,"New Haven, CT",America,
"fernanda rojas Â©¨¹¦Â©â¨¹¦¬""New Mexico"," USA""",America,
Jack Lee,"Yuma, AZ",America,
Owen J. Green,Cyprus,Cyprus,
edward arguelles,"Diamond Bar, CA",America,
Sylvester Stewart,"Dallas, TX",America,
Israel Robledo,"Midland, TX",America,
sophie kornick,"Chicago, IL",America,
Eddie,"Newberg, Oregon",America,
Albert Wiradharma,"West Lafayette, IN",America,
Sheldyn cole,Louisiana ,America,
Kaden Gammelgaard,"Lake Zurich, IL",America,
terilyna&,"Honolulu, HI",America,
Bukom205,"Tuscaloosa, AL",America,
"thankful trinity Â©¨¹¦Â©â¨¹¦¬""Crest Hill"," IL""",America,
Reynaldo,"North Carolina, USA",America,
Maurice Davis,"Missouri, USA",America,
Nowen,"Fall River, MA",America,
Matt Nguyen,"New York, NY",America,
KPRWEB1102,"Erie, PA",America,
Kim,"Round Rock, TX",America,
@702man_cave,"North Las Vegas, NV",America,
"kiaÂ©¨¹¦Â©â¨¹¦¬""Wyoming"," USA""",America,
Andrew Broom,"Byesville, OH",America,
Jamari,"Bluffdale, UT",America,
TENTACION,"Ohio, USA",America,
Eli James Glenn,United States,America,
Baasidth Pasarebu Â©¨¹¦Â©â¨¹¦¬Switzerland,Switzerland,,
Phil CollingsworthJr,"Cincinnati, OH",America,
Kitti Jones,USA,America,
yididya,"Nevada, USA",America,
Joe Knight,"Miami, FL",America,
BellBranch,"Texas, USA",America,
BK,"Kaohsiung City, Taiwan",Taiwan,
Evan Meyer,"Del Mar, CA",America,
Pratush Trikha,Singapore,Singapore,
Michael Harrison,United States,America,
THR ,"Oregon, USA",America,
Geoff Nations,"Columbus, OH",America,
The One,"Austin, TX",America,
Heather Muse,"Brooklyn, NY",America,
Â©¨¹¦Â©â¨¹ofÂ©¨¹¦Â©â¨¹¦×G,Namibia,Namibia,
Fat ass Kelly Price,"Butthole, Maryland",America,
Sam Cooney,"Manhattan, KS",America,
Adam Miles,"Bay Park/Borrego Springs, CA",America,
Jack Robertson,"Chantilly, VA",America,
Jason,"Dallas, TX",America,
Caitlin Streaker,"Norwood, OH",America,
Chris Castelazo,"Santa Ana, CA",America,
Zack Rothman,"Fort Myers, FL",America,
The Real Andrew,"Santa Clarita, CA",America,
Anthony Sebastian,"Charlotte, NC",America,
Quest Carlson,"Miles City, MT",America,
Ryan Rothwell,"West Union, OH",America,
Eric Goodrich,Utah,America,
Nikolai Cantley,"Birmingham, AL",America,
Kaleena,"Moreno Valley, CA",America,
Jean Prince Khaled,"Waterloo, IA",America,
Pat Brassil,"Irvine, CA",America,
SupremeJosh1,"Malvern, Toronto",Canada,
GOAT,"Fuck Em , TX",America,
Shaquille,"Los Angeles, CA",America,
Chris,"California, USA",America,
